forecaster,cycle,date,state,call,source,notes
Cook,1998,5/20/1998,VT,Solid D,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,WI,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,5/20/1998,WY,Solid R,CPR-1998-05-20-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,AK,Lean D,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,AL,Likely R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,AR,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,AZ,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,CA,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,CO,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,CT,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,FL,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,GA,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,HI,Likely D,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,IA,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,ID,Solid R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,IL,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,KS,Solid R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,MA,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,MD,Toss-up,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,ME,Likely I,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
Cook,1998,6/10/1997,MI,Lean R,CPR-1997-06-10-_97-_98governorRATINGS.pdf,
